Date,House_Prices
2017-06-30,276500.0
2017-05-31,279800.0
2017-04-30,282400.0
2017-03-31,281700.0
2017-02-28,279900.0
2017-01-31,279800.0
2016-12-31,280600.0
2016-11-30,281300.0
2016-10-31,282100.0
2016-09-30,282700.0
2016-08-31,282400.0
2016-07-31,282000.0
2016-06-30,283000.0
2016-05-31,284300.0
2016-04-30,285100.0
2016-03-31,285600.0
2016-02-29,285500.0
2016-01-31,285000.0
2015-12-31,284800.0
2015-11-30,284200.0
2015-10-31,283000.0
2015-09-30,282200.0
2015-08-31,280300.0
2015-07-31,277000.0
2015-06-30,272400.0
2015-05-31,267800.0
2015-04-30,263300.0
2015-03-31,261400.0
2015-02-28,261400.0
2015-01-31,262400.0
2014-12-31,263200.0
2014-11-30,264000.0
2014-10-31,264200.0
2014-09-30,264300.0
2014-08-31,264800.0
2014-07-31,265400.0
2014-06-30,265700.0
2014-05-31,265400.0
2014-04-30,264900.0
2014-03-31,264400.0
2014-02-28,263500.0
2014-01-31,263000.0
2013-12-31,263100.0
2013-11-30,262200.0
2013-10-31,260800.0
2013-09-30,259500.0
2013-08-31,257300.0
2013-07-31,254600.0
2013-06-30,253000.0
2013-05-31,252100.0
2013-04-30,251400.0
2013-03-31,251000.0
2013-02-28,250400.0
2013-01-31,250500.0
2012-12-31,250700.0
2012-11-30,250200.0
2012-10-31,249600.0
2012-09-30,248800.0
2012-08-31,247300.0
2012-07-31,246500.0
2012-06-30,244900.0
2012-05-31,242800.0
2012-04-30,242600.0
2012-03-31,243500.0
2012-02-29,243600.0
2012-01-31,244700.0
2011-12-31,248200.0
2011-11-30,252700.0
2011-10-31,255000.0
2011-09-30,255500.0
2011-08-31,255700.0
2011-07-31,255600.0
2011-06-30,256300.0
2011-05-31,257800.0
2011-04-30,258900.0
2011-03-31,259900.0
2011-02-28,261200.0
2011-01-31,262700.0
2010-12-31,262400.0
2010-11-30,259800.0
2010-10-31,256500.0
2010-09-30,256400.0
2010-08-31,259400.0
2010-07-31,263400.0
2010-06-30,265900.0
2010-05-31,267100.0
2010-04-30,268100.0
2010-03-31,269400.0
2010-02-28,272600.0
2010-01-31,269800.0
2009-12-31,262900.0
2009-11-30,259800.0
2009-10-31,263000.0
2009-09-30,265500.0
2009-08-31,267200.0
2009-07-31,268100.0
2009-06-30,270200.0
2009-05-31,273000.0
2009-04-30,273900.0
2009-03-31,272500.0
2009-02-28,271000.0
2009-01-31,272900.0
2008-12-31,277100.0
2008-11-30,280200.0
2008-10-31,281300.0
2008-09-30,281500.0
